0.02 &lt; z &lt; 0.08 ,0.064 ± 0.0019 ,9.5971 ± 0.011 ,0.9703 ± 0.015 ,0.187 ± 0.038 
0.08 &lt; z &lt; 0.14 ,0.139 ± 0.00076 ,9.452 ± 0.0047 ,1.1515 ± 0.0074 ,0.1576 ± 0.016 
0.14 &lt; z &lt; 0.20 ,0.3174 ± 0.032 ,9.4452 ± 0.056 ,1.1838 ± 0.052 ,0.15 ± 0.0017 
0.20 &lt; z &lt; 0.28 ,0.7597 ± 0.02 ,10.1064 ± 0.012 ,1.0728 ± 0.013 ,0.15 ± 0.017 
0.28 &lt; z &lt; 0.36 ,1.1795 ± 0.019 ,10.6332 ± 0.04 ,0.9618 ± 0.016 ,0.1997 ± 0.039 
0.36 &lt; z &lt; 0.45 ,0.8962 ± 0.0087 ,10.2632 ± 0.013 ,0.893 ± 0.0065 ,0.2528 ± 0.053 
0.45 &lt; z &lt; 0.56 ,0.5551 ± 0.0045 ,9.4763 ± 0.021 ,1.0229 ± 0.039 ,0.15 ± 0.015 
0.56 &lt; z &lt; 0.68 ,0.7267 ± 0.0086 ,9.5132 ± 0.02 ,1.0327 ± 0.02 ,0.15 ± 0.0046 
0.68 &lt; z &lt; 0.82 ,0.9698 ± 0.016 ,9.7331 ± 0.023 ,1.0036 ± 0.027 ,0.1519 ± 0.022 
0.82 &lt; z &lt; 1.00 ,1.1263 ± 0.028 ,9.8598 ± 0.045 ,0.972 ± 0.027 ,0.1714 ± 0.02 
1.00 &lt; z &lt; 1.20 ,1.3363 ± 0.0053 ,10.0925 ± 0.019 ,0.9298 ± 0.02 ,0.1902 ± 0.022 
1.20 &lt; z &lt; 1.45 ,1.4696 ± 0.013 ,10.1153 ± 0.021 ,0.9463 ± 0.035 ,0.1784 ± 0.036 
1.45 &lt; z &lt; 1.75 ,1.5302 ± 0.0092 ,10.1547 ± 0.018 ,0.9931 ± 0.024 ,0.1662 ± 0.02 
1.75 &lt; z &lt; 2.20 ,1.6857 ± 0.0096 ,10.3276 ± 0.021 ,0.9374 ± 0.029 ,0.2101 ± 0.047 
2.20 &lt; z &lt; 2.60 ,1.8791 ± 0.007 ,10.4174 ± 0.017 ,0.9589 ± 0.016 ,0.1903 ± 0.034 
2.6 &lt; z &lt; 3.25 ,1.8457 ± 0.007 ,10.1967 ± 0.018 ,0.8964 ± 0.041 ,0.2021 ± 0.042 
3.25 &lt; z &lt; 3.75 ,2.3238 ± 0.0099 ,10.7865 ± 0.013 ,0.9163 ± 0.0098 ,0.2117 ± 0.05 
3.75 &lt; z &lt; 4.25 ,2.4844 ± 0.0043 ,10.9361 ± 0.0078 ,0.9013 ± 0.0045 ,0.2126 ± 0.05 
4.25 &lt; z &lt; 5.00 ,2.6792 ± 0.0057 ,11.1114 ± 0.0035 ,0.9299 ± 0.0029 ,0.2066 ± 0.042 
5.00 &lt; z &lt; 9.00 ,2.7513 ± 0.013 ,10.9998 ± 0.0098 ,0.9861 ± 0.011 ,0.2019 ± 0.067 