VERTICO,$0.97\pm0.07$,720\,pc,4.35,Least Trimmed Squares
\citet{Querejeta2021},$0.97\pm0.06^a$,$\sim 1-2$\,kpc,$4.35 ,imes Z'^{-1.6}$
\citet{Pessa2021},$1.06\pm0.01$,100\,pc,$4.35 	imes Z'^{-1.6}$,OLS
\citet{Sanchez2021},$0.95\pm0.21$,$\sim$kpc,4.3,OLS
\citet{Ellison2021},$0.86\pm0.01$,$\sim$kpc,4.3,Orthogonal Distance Regression (ODR)
\citet{Morselli2020},$0.80\pm0.12$,500\,pc,4.3,OLS
\citet{Lin2019},$1.05\pm0.01$,$\sim$kpc,4.3,ODR
\cite{Usero2015},$1.01\pm0.08$,$\sim 1-2$\,kpc,4.4,Total Least Squares
\citet{Leroy2013},$1.00\pm0.15$,$\sim$kpc,4.35,Monte Carlo fitting
\citet{Schruba2011},$1.0\pm0.1$,$\sim$0.2-2\,kpc,4.35,Bisector OLS
\cite{Genzel2010},$1.17\pm0.09$,> kpc,$4.35^b$,Not specified
\cite{Daddi2010},$1.31\pm0.09$,> kpc,$3.6^c$,Not specified
\citet{Blanc2009},$0.82\pm0.05$,$\sim$750\,pc,$6.0^d$,Monte Carlo fitting
\citet{Bigiel2008},$1.0\pm0.02$,$\sim$750\,pc,4.35,Bisector OLS
\cite{Kennicutt2007},$1.37\pm0.03$,$\sim$500\,pc,$6.0^d$,Bivariate Least Squares